id,media,leaning,date,title,short_opening,URL
C094,CTV,center-left,2022-03-18,Facebook and YouTube say they removed Zelensky deepfake,Platforms remove deepfake of Zelensky ...,
C095,CTV,center-left,2022-03-14,Zelensky latest in long list of world leaders to address Parliament,When Ukrainian President Volodymyr Zelensky addresses Parliament ...,
C096,CTV,center-left,2022-03-21,Live updates: Zelensky hails protesters confronting troops,President Zelensky said he was prepared to discuss neutrality ...,
C097,CTV,center-left,2022-02-26,Zelensky refuses U.S. offer to evacuate,"Zelensky: 'I need ammunition, not a ride' ...",
C098,CTV,center-left,2025-11-19,Russian attack kills 25 as Zelenskyy meets Erdogan in Turkiye,Zelenskyy visits Turkiye for talks with Erdogan ...,
C099,CTV,center-left,2022-03-05,U.S. senators criticized after tweeting photos of Zoom call with Zelensky,Senators criticized for sharing Zelensky meeting photos ...,
C100,CTV,center-left,2025-02-28,A Russian state media reporter gained entry to the Oval Office for Trump-Zelensky sit-down,A member of Russia__ state-owned news agency gained access to the Oval Office ...,
C101,AP,center,2025-08-29,Zelenskyy visits latest missile attack site in Kyiv,Zelenskyy visited the site of a missile attack that killed several civilians.,
C102,AP,center,2025-01-03,"Trump__ strength and unpredictability can help end the war in Ukraine, Zelenskyy says",Zelenskyy said Trump__ unpredictability could help end the war.,
C103,AP,center,2025-03-01,The Latest: Most European leaders back Zelenskyy as he joins crisis talks in London,Zelenskyy joined crisis talks in London and thanked U.S. leadership despite prior tensions.,
C104,AP,center,2025-09-23,Zelenskyy holds a meeting with the President of Switzerland Karin Keller-Sutter on the sidelines of UNGA,Zelenskyy met Switzerland__ president during the UNGA.,
C105,AP,center,2025-08-02,Zelenskyy visits site of deadly Russian attack on Kyiv which killed 31 people,Zelenskyy visited the aftermath of a major missile/drone attack in Kyiv.,
C106,AP,center,2025-08-19,Sen. Lindsey Graham says Trump ready to __rush_ Russian economy if Putin avoids talks with Zelenskyy,Graham says Trump will impose harsh sanctions if Putin refuses peace talks with Zelenskyy.,
C107,AP,center,2025-05-14,Zelenskyy __aiting to see who will come from Russia_ for talks in Turkey,Zelenskyy said he is waiting to see who Russia will send to ceasefire talks in Turkey.,
C108,AP,center,2025-06-26,Zelenskyy approves plans on special tribunal to prosecute Russian leaders over Ukraine,Ukraine approved plans for a special tribunal to prosecute Russian leadership.,
C109,AP,center,2025-03-30,Trump finds fault with both Putin and Zelenskyy as he tries to push for deal,Trump criticized both leaders as he attempted to push a peace agreement.,
C110,AP,center,2025-02-17,Zelenskyy travels to UAE as momentum grows for talks to end Russia__ war in Ukraine,Zelenskyy traveled to the UAE amid growing momentum for peace talks.,
C111,AP,center,2025-10-17,"After Zelenskyy meeting, Trump calls on Ukraine and Russia to __top where they are_ and end the war",President Donald Trump is calling on Kyiv and Moscow to __top where they are_ and end their brutal war.,
C112,AP,center,2025-05-13,Zelenskyy says he will be waiting for Putin in Ankara for talks,Zelenskyy says he is ready to meet Putin in Ankara to negotiate an end to the war.,
C113,AP,center,2025-08-31,Zelenskyy announces arrest in shooting death of pro-Western Ukrainian politician Andriy Parubiy,Ukraine arrests a suspect in the killing of former parliament speaker Parubiy.,
C114,AP,center,2025-09-24,Zelenskyy to the UN: __e are now living through the most destructive arms race in history_,Zelenskyy warned world leaders about a dangerous global arms race.,
C115,AP,center,2025-10-01,Zelenskyy and UN atomic agency head warn of heightened risk at huge Ukrainian nuclear plant,Ukraine and the UN nuclear agency warn of rising risks at the occupied Zaporizhzhia plant.,
C116,AP,center,2025-01-10,Zelenskyy meets US Defence Secretary Austin in Germany,Zelenskyy and Austin urge continued U.S. military support for Ukraine.,
C117,AP,center,2025-08-21,Trump thanks Ukrainian serviceman for veteran__ golf putter presented to him by Zelenskyy,Zelenskyy gave Trump a golf putter that belonged to a Ukrainian serviceman.,
C118,AP,center,2025-08-12,Zelenskyy tells youth forum Putin and Trump cannot agree on anything without Ukraine present,Zelenskyy told a youth forum that Trump and Putin cannot decide anything about Ukraine without Ukraine being present.,
C119,AP,center,2025-08-18,Ukraine__ Zelenskyy arrives at White House to meet Trump on ending Russia__ war,Zelenskyy arrived with a large European delegation for peace talks.,
C120,AP,center,2025-10-31,"Russia deploys 170,000 troops for push in Ukraine__ Donetsk region, Zelenskyy says","Russia has deployed 170,000 troops in Donetsk aiming to seize Pokrovsk.",
C121,WSJ,center,2019-11-15,First Trump-Zelensky Call Shows None of the Pressure of the Second,,
C122,WSJ,center,2022-12-21,Zelensky Set to Visit Washington on Wednesday,,
C123,WSJ,center,2022-03-14,Ukraine__ Zelensky to Press Congress for More Military Gear,,
C124,WSJ,center,2022-12-22,Zelensky Deserves More U.S. Support,,
C125,WSJ,center,2023-07-02,Ukraine__ Zelensky Says He Will Beat Russia by Holding On to His Humanity,,
C126,WSJ,center,2022-04-23,"Antony Blinken and Lloyd Austin to Visit Ukraine, President Zelensky Says",,
C127,WSJ,center,2024-02-12,Zelensky__ Military Shake-Up Ties Him to Battlefield Performance,,
C128,WSJ,center,2023-04-05,Zelensky Visits Poland as Ukraine Pursues Support for Offensive,,
C129,WSJ,center,2022-05-12,Who Is Volodymyr Zelensky? What to Know About Ukraine__ President,,
C130,WSJ,center,2023-02-22,Ukraine__ Zelensky Is Challenged by Return of Domestic Political Troubles,,
C131,WSJ,center,2025-05-03,Face-to-Face at the Vatican: How Trump and Zelensky Made Up,,
C132,WSJ,center,2024-09-26,"Zelensky Presses Case for Missile Strikes, Tries to Patch Up GOP Support",,
C133,WSJ,center,2023-04-02,Russian Shelling Kills Six in Ukraine as Zelensky Criticizes Moscow__ U.N. Role,,
C134,WSJ,center,2024-05-07,Ukraine Says It Foiled Russian Plot to Assassinate Zelensky,,
C135,WSJ,center,2024-01-31,"Tensions Between Zelensky, Top General Spark Worry in the West and on the Front Line",,
C136,WSJ,center,2025-03-01,"Zelensky, Who Stood Up to Putin, Now Refuses to Bow to Trump",,
C137,WSJ,center,2022-06-01,"Ukraine Won__ Attack Russian Territory, Zelensky Says",,
C138,WSJ,center,2025-02-23,Ukraine__ Zelensky Wants Better Terms on Minerals Deal Demanded by Trump,,
C139,WSJ,center,2024-06-26,Zelensky__ Formidable Task: Keeping the West and His Citizens On Board,,
C140,WSJ,center,2024-09-24,Zelensky Appeals for More Pressure on Russia in U.N. Speech,,
C141,GlobalNews,center,2025/2/19,Ukraine says it will defend existence as Trump calls Zelenskyy a __ictator_,"Ukrainian President Volodymyr Zelenskyy said he __ould like Trump__ team to be more truthful"" after Trump suggested Ukraine __hould have never started_ the war.",
C142,GlobalNews,center,2024/9/26,"Harris, Biden pledge continued Ukraine support as Zelenskyy visits Washington","The bulk of the new aid, US$5.5 billion, is to be allocated before Monday's end of the U.S. fiscal year, when the funding authority is set to expire.",
