date,title,short_opening,url,label,sentiment
2025-05-12,Zelenskyy challenges Putin to meet him in Turkey 'personally' for ceasefire talks,"KYIV, Ukraine  Ukrainian President Volodymyr Zelenskyy on Sunday challenged Russia's President Vladimir Putin to meet him personally in Turkey on Thursday, the latest move in a weekend-long exchange of proposals from both sides on the next steps in the U.S.-led peace effort.",https://www.npr.org/2025/05/12/nx-s1-5395538/zelenskyy-putin-ukraine-russia-ceasefire-turkey,Diplomatic Engagements,neutral
2025-05-11,"Zelenskyywelcomes Russian overtures, but says ceasefire must come before peace talks","KYIV, Ukraine  Ukrainian President Volodymyr Zelenskyy on Sunday welcomed Russia's offer for direct peace talks, but insisted there must be a full, temporary ceasefire in place before negotiations can start.",https://www.npr.org/2025/05/11/nx-s1-5394923/russia-direct-talks-ukraine,Russia-Related Rhetoric,neutral
2025-04-27,"Politics chat: Trump meets Zelenskyy, China denies being in negotiations with U.S.","Yesterday, both President Trump and President Biden attended the funeral for Pope Francis. Ukraine's President Volodymyr Zelenskyy was also here, and he huddled with Trump at the Vatican just before the service. ",https://www.npr.org/2025/04/27/nx-s1-5375851/politics-chat-trump-meets-zelenskyy-china-denies-being-in-negotiations-with-u-s,Diplomatic Engagements,neutral
2025-04-26,Trump meets Zelenskyy during visit to Pope Francis' funeral,Deepa Shivaram Ukraine's President Volodymyr Zelenskyy (right) and President Trump talk as they attend the funeral of Pope Francis at the Vatican on Saturday.,https://www.npr.org/2025/04/26/g-s1-62926/trump-zelenskyy-pope-francis-funeral,Diplomatic Engagements,neutral
2025-04-21,"Zelenskyy pays tribute to the pope, who angered Ukrainians in recent years","Joanna Kakissis Ukrainian President Volodymyr Zelenskyy posted a photo of himself shaking hands with Pope Francis and praised the pontiff as someone who ""knew how to give hope, ease suffering through prayer, and foster unity.",https://www.npr.org/2025/04/21/g-s1-61598/zelenskyy-pays-tribute-to-the-pope-who-had-mixed-reviews-among-ukrainians,Media Representation,positive
2025-04-20,Zelenskyy says Russia trying to create 'impression of ceasefire' as attacks continue,"KYIV, Ukraine  Ukrainian President Volodymyr Zelenskyy accused Russia on Sunday of creating a false appearance of honoring an Easter ceasefire, saying Moscow continued to launch attacks after Russian President Vladimir Putin announced a unilateral temporary truce.",https://www.npr.org/2025/04/20/g-s1-61446/zelenskyy-russia-ceasefire-impression-attacks-continue-easter,Russia-Related Rhetoric,neutral
2025-03-19,Zelenskyy and Trump speak after Trump's call with Putin,"Ukrainian President Volodymyr Zelenskyy spoke with President Trump on Wednesday, following Trump's call on Tuesday with Russian President Vladimir Putin.",https://www.npr.org/2025/03/19/nx-s1-5333234/zelenskyy-trump-call-putin-ukraine-russia-war,Diplomatic Engagements,neutral
2025-03-14,Zelenskyywants U.S. to hit Russia with 'maximum' sanctions if it refuses a ceasefire,"Joanna Kakissis Ukrainian President Volodymyr Zelenskyy speaks during the briefing in Kyiv, Ukraine, Wednesday.Efrem Lukatsky/APhide caption",https://www.npr.org/2025/03/14/nx-s1-5328696/zelenskyy-ukraine-russia-war-ceasefire-talks,Russia-Related Rhetoric,neutral
2025-03-03,"Zelenskyyin London, Gaza Ceasefire Status, Judicial Accountability","Ukraine's President Volodymyr Zelenskyy received a warm welcome in London from the British prime minister and other European leaders, after a contentious meeting with President Trump in Washington. Israel and Hamas are at loggerheads over the next phase of the six-week-old Gaza ceasefire. And, an NPR investigation finds gaps in the systems to report misbehavior by federal judges and a widespread culture of fear about reporting abuse.Want more comprehensive analysis of the most important news of the day, plus a little fun?Subscribe to the Up First newsletter.Today's episode of Up First was edited by Miguel Macias, Didi Schanche, Krishnadev Calamur, Alice Woelfle and Mohamad ElBardicy.It was produced by Ziad Buchh, Claire Murashima and Chris Thomas.We get engineering support from Zac Coleman, our technical director is David Greenburg",https://www.npr.org/2025/03/03/1235624360/zelenskyy-in-london-gaza-ceasefire-status-judicial-accountability,Diplomatic Engagements,positive
2025-03-01,"Zelenskyy-Vance-Trump Blow Up, DOJ Demotions, Feds Plan for Bird Flu","Ukrainians react to the stunning events in the Oval Office that ended not with a signed minerals deal, but with shouting. Trump's Department of Justice demotes career lawyers who were involved in prosecutions of Trump allies and January 6th rioters. The Department of Agriculture announces plans to fight bird flu and high egg prices.",https://www.npr.org/2025/03/01/1235173135/up-first-united-states-shifting-alliances,Diplomatic Engagements,negative
2025-02-28,Zelenskyy leaves the White House early after Trump meeting gets heated,"By President Trump and Ukrainian President Volodymyr Zelenskyy meet in the Oval Office of the White House in Washington, D.C., on Friday.Saul Loeb/AFP via Getty Imageshide caption",https://www.npr.org/2025/02/28/nx-s1-5313079/trump-zelenskyy-meeting,Diplomatic Engagements,neutral
2025-02-28,"Meeting Trump at White House, Zelenskyy hopes for continued aid in war with Russia","Joanna Kakissis Trump and Ukraine's President Volodymyr Zelenskyy shake hands during their meeting at Trump Tower, Sept. 27, 2024, in New York.Julia Demaree Nikhinson/APhide caption",https://www.npr.org/2025/02/28/nx-s1-5312880/trump-zelenskyy-minerals-ukraine-russia,Aid Policies,neutral
2025-02-28,Zelenskyy's visit to the White House ends abruptly after Oval Office spat,"Zelenskyy was at the White House to finalize a deal on minerals, which Trump has said is a step toward a broader peace deal he is trying to broker. But no deal was signed and the visit was cut short.",https://www.npr.org/2025/02/28/nx-s1-5312076/zelenskyys-visit-to-the-white-house-ends-abruptly-after-oval-office-spat,Diplomatic Engagements,neutral
2025-02-28,Ukrainian President VolodymyrZelenskyyto meet President Trump Friday,"Ukrainian President Volodymyr Zelenskyy will meet with President Trump in Washington on Friday, where they are expected to sign a deal on U.S. access to some of Ukraine's critical raw materials.",https://www.npr.org/2025/02/28/nx-s1-5311472/ukrainian-president-volodymyr-zelenskyy-to-meet-president-trump-friday,Diplomatic Engagements,neutral
