date,title,url
2022-03-15,Ukraine's Zelensky addresses Parliament,https://www.cbc.ca/news/ukraine-s-zelensky-addresses-parliament-1.6386014
2022-03-15,"Zelensky makes powerful, personal appeal to Canada to do more",https://www.cbc.ca/news/politics/zelensky-makes-powerful-personal-appeal-to-canada-to-do-more-1.6385710
2022-03-15,Federal leaders welcome President Volodymir Zelensky's address to the House of Commons,https://www.cbc.ca/news/politics/federal-leaders-welcome-president-volodymir-zelensky-s-address-to-the-house-of-commons-1.6385660
2022-03-15,Ukrainian President Volodymyr Zelensky addresses Parliament,https://www.cbc.ca/news/politics/ukrainian-president-volodymyr-zelensky-addresses-parliament-1.6385642
2022-03-15,Why Ukraine President Volodymyr Zelensky is a 'Churchillian figure',https://www.cbc.ca/news/world/why-ukraine-president-volodymyr-zelensky-is-a-churchillian-figure-1.6385379
2022-03-10,Canadians get creative to support Ukraine,https://www.cbc.ca/news/thenational/canadians-get-creative-to-support-ukraine-1.6381069
2022-03-08,Zelensky calls for more help in historic address to U.K. parliament,https://www.cbc.ca/news/thenational/zelensky-calls-for-more-help-in-historic-address-to-u-k-parliament-1.6378035
2022-03-08,"'We will not give up,' Zelensky tells British Parliament",https://www.cbc.ca/news/world/we-will-not-give-up-zelensky-tells-british-parliament-1.6377188
2022-03-08,"Zelensky posts video from Kyiv office, debunks rumours he's 'hiding'",https://www.cbc.ca/news/world/zelensky-posts-video-from-kyiv-office-debunks-rumours-he-s-hiding-1.6376740
2022-03-07,Zelensky calls Russian attack on Irpin 'murder',https://www.cbc.ca/news/world/zelensky-calls-russian-attack-on-irpin-murder-1.6375265
2022-03-05,"Ukrainian president pleads to U.S. senators for planes, drones to fight Russia",https://www.cbc.ca/news/ukrainian-president-pleads-to-u-s-senators-for-planes-drones-to-fight-russia-1.6374511
2022-03-04,NATO rejects Ukraine's pleas for no-fly zone,https://www.cbc.ca/news/thenational/nato-rejects-ukraine-s-pleas-for-no-fly-zone-1.6374111
2022-03-01,Ukrainian president makes direct appeal to join EU,https://www.cbc.ca/news/world/ukrainian-president-makes-direct-appeal-to-join-eu-1.6368295
2022-02-25,Russian forces close in on Ukrainian capital,https://www.cbc.ca/news/thenational/russian-forces-close-in-on-ukrainian-capital-1.6365686
2022-02-25,How Russia's military closed in on Kyiv so quickly,https://www.cbc.ca/news/thenational/how-russia-s-military-closed-in-on-kyiv-so-quickly-1.6365690
2022-02-25,Government officials worry Russia moving to overthrow Ukraine's government,https://www.cbc.ca/news/world/government-officials-worry-russia-moving-to-overthrow-ukraine-s-government-1.6364137
2022-02-25,"Russian forces reported in Kyiv, closing in on Ukrainian parliament",https://www.cbc.ca/news/world/russian-forces-reported-in-kyiv-closing-in-on-ukrainian-parliament-1.6364113
2022-02-25,Ukrainian president appeals for more help,https://www.cbc.ca/news/world/ukrainian-president-appeals-for-more-help-1.6364102
2022-02-24,Hundreds of thousands of Ukrainians flee Russian assault,https://www.cbc.ca/news/world/hundreds-of-thousands-of-ukrainians-flee-russian-assault-1.6362646
2022-01-30,Defence minister visits Ukraine amid preparations for possible Russian invasion,https://www.cbc.ca/news/thenational/defence-minister-visits-ukraine-amid-preparations-for-possible-russian-invasion-1.6333385
2022-10-11,G7 leaders pledge to support Ukraine ‘for as long as it takes’,https://www.cbc.ca/news/thenational/g7-leaders-pledge-to-support-ukraine-for-as-long-as-it-takes-1.6613402
2019-09-25,Trump says he put 'no pressure' on Ukraine president during phone call,https://www.cbc.ca/news/thenational/trump-says-he-put-no-pressure-on-ukraine-president-during-phone-call-1.5297757
2019-04-04,How a comedian could become Ukraine's next president,https://www.cbc.ca/news/thenational/how-a-comedian-could-become-ukraine-s-next-president-1.5085450
2019-03-29,How a comedian could become Ukraine's next president,https://www.cbc.ca/news/thenational/how-a-comedian-could-become-ukraine-s-next-president-1.5078257
