date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2023-09-22,Zelenskyydefends Ukraine's spending of Western aid,"By one account, Ukrainian president Volodymyr Zelenskyy said something convincing when he met with leaders of Congress on Thursday.",https://www.npr.org/2023/09/22/1200812392/securing-his-western-flank-zelenskyy-bids-to-maintain-his-u-s-support,Aid Policies,positive,zelensky_npr_filtered,,
2023-09-22,BONUS: Zelenskyy Makes Case For More Aid,Ukrainian President Volodymyr Zelenskyy tells NPR's Steve Inskeep that more foreign aid is necessary to beat back Vladimir Putin's ambitions to expand Russia's influence across Europe.,https://www.npr.org/2026/01/01/1198920519/zz-upfirst-bonusdraft,Aid Policies,neutral,zelensky_npr_filtered,,
2023-09-21,Ukrainian President Zelenskyy courts Washington for aid amid some GOP Resistance,Tamara Keith Ukraine's president visits Washington as the White House faces resistance from House Republicans for its latest funding request to help with the country's defense against Russia.,https://www.npr.org/2023/09/21/1200898104/ukrainian-president-zelenskyy-courts-washington-for-aid-amid-some-gop-resistance,Aid Policies,neutral,zelensky_npr_filtered,,
2023-09-21,"As Ukraine's war drags on and a D.C. shutdown looms, Zelenskyy makes his case for aid","Becky Sullivan Ukrainian President Volodymyr Zelenskyy arrives in the U.S. Capitol Thursday alongside House Minority Leader Rep. Hakeem Jeffries, a Democrat from New York.Anna Moneymaker/Getty Imageshide caption",https://www.npr.org/2023/09/21/1200674632/zelenskyy-washington-ukraine-funding-shutdown,Aid Policies,neutral,zelensky_npr_filtered,,
2023-09-20,Ukrainian President Zelenskyy makes case for continued U.S. support against Russia,Ukraine's president Volodymyr Zelenskyy tells NPR's Steve Inskeep that more foreign aid is necessary to beat back Vladimir Putin's ambitions to expand Russia's influence across Europe.,https://www.npr.org/2023/09/20/1200671374/ukrainian-president-zelenskyy-makes-case-for-continued-u-s-support-against-russi,Aid Policies,neutral,zelensky_npr_filtered,,
2023-09-20,"As the U.S. mulls more aid to Ukraine, Zelenskyy says 'we have the same values'",Ukrainian President Volodymyr Zelenskyy is requesting continued support from the U.S. amid Russia's ongoing war and growing Republican opposition.,https://www.npr.org/2023/09/20/1200386054/zelenskyy-us-aid-ukraine,Aid Policies,neutral,zelensky_npr_filtered,,
2023-09-05,"Congress mulls more money for Ukraine, as Zelenskyy replaces his defense minister","LEILA FADEL, HOST: As Congress mulls over whether to approve more money for Ukraine, Ukraine's president Volodymyr Zelenskyy, is replacing his defense minister. To understand what this means, we turn to Michael Bociurkiw, a senior fellow at the Atlantic Council and former spokesman for the Organization for Security and Co-operation in Europe. Michael, thanks for being on the program.",https://www.npr.org/2023/09/05/1197578304/congress-mulls-more-money-for-ukraine-as-zelenskyy-replaces-his-defense-minister,Aid Policies,neutral,zelensky_npr_filtered,,
2023-02-24,"A year since Russia invaded,Zelenskyysays Ukraine needs the support of the world",Joanna Kakissis Ukraine's president Volodymyr Zelenskyy gave a lengthy press conference in Kyiv Friday as the country marked one year since Russia's invasion.,https://www.npr.org/2023/02/24/1159423030/a-year-since-russia-invaded-zelenskyy-says-ukraine-needs-the-support-of-the-worl,Aid Policies,neutral,zelensky_npr_filtered,,
2022-12-22,Zelenskyy told Congress continued aid is an investment in global security. Is it?,"NPR's Leila Fadel talks to Amanda Sloat, senior director for Europe on the National Security Council, about Ukrainian President Volodymyr Zelenskyy's trip to Washington and U.S. assistance.",https://www.npr.org/2022/12/22/1145010666/zelenskyy-told-congress-continued-aid-is-an-investment-in-global-security-is-it,Aid Policies,neutral,zelensky_npr_filtered,,
2022-12-22,Zelenskyy told Congress continued aid is an investment in global security. Is it?,"LEILA FADEL, HOST: Ukrainian President Volodymyr Zelenskyy told a joint meeting of Congress last night U.S. aid can speed up a Ukrainian victory over Russia.",https://www.npr.org/2022/12/22/1144942111/zelenskyy-told-congress-continued-aid-is-an-investment-in-global-security-is-it,Aid Policies,neutral,zelensky_npr_filtered,,
