date,title,label,short_opening,url
2023-01-03,"After deadly Ukrainian strike, Russia preparing to step up drone attacks: Zelenskyy",Military Operations,At least 63 Russian soldiers were killed in an attack in the eastern Donetsk region after Ukrainian forces fired rockets from a HIMARS launch system.,https://globalnews.ca/news/9383603/russia-preparing-drone-attacks-ukraine-war/
2022-12-27,"From crypto and inflation to Zelenskyy, here__ what stood out in the ABCs of 2022",Media Representation,"From the Pope's visit to Canada, to Elon Musk buying Twitter and the death of Queen Elizabeth. Here__ a rundown of the last 12 months in alphabetical order.",https://globalnews.ca/news/9373408/from-crypto-and-inflation-to-zelenskyy-heres-what-stood-out-in-the-abcs-of-2022/
2022-12-21,"__our support is crucial,_ Ukraine__ Zelenskyy tells U.S. Congress in historic address",Media Representation,"The Ukrainian president pressed lawmakers to continue their support to help fight off Russia's invasion, as some Republicans openly question the need for further U.S. funds.",https://globalnews.ca/news/9366384/ukraine-zelenskyy-us-congress-address/
2022-12-21,"Zelenskyy thanks Biden, __rdinary Americans_ for supporting Ukraine at White House",Media Representation,Biden welcomed Zelenskyy to the Oval Office during the Ukrainian president's first known trip outside his country since Russia invaded in February.,https://globalnews.ca/news/9364169/zelenskyy-washington-visit-biden-meeting/
2022-12-20,Ukraine__ Zelenskyy set to visit Washington in 1st overseas trip of war: reports,Diplomatic Engagements,"Sources familiar with the plans said Zelenskyy's visit on Wednesday, while expected, could still be called off at the last minute due to security concerns.",https://globalnews.ca/news/9363028/ukraine-zelenskyy-washington-trip/
2022-12-16,Zelenskyy __elcomed_ Canada__ move to revoke Nord Stream sanction exemption: PMO,Diplomatic Engagements,Ukrainian President Volodymyr Zelenskyy 'welcomed' Canada__ decision to revoke a permit that allowed the export of a turbine being repaired in Montreal owned by Russia's Gazprom.,https://globalnews.ca/news/9354275/zelenskyy-trudeau-nord-stream-turbine-exemption/
2022-12-07,Ukraine President Volodymyr Zelenskyy named Time magazine__ person of the year,Media Representation,The U.S. magazine acknowledged Ukrainian President Volodymyr Zelenskyy's leadership during Russia__ invasion and also paid tribute to the people of Ukraine.,https://globalnews.ca/news/9331462/zelenskyy-time-person-of-the-year-2022/
2022-11-28,"Unless Russia runs out of missiles, Moscow won__ stop strikes: Ukraine__ Zelenskyy",Military Operations,Ukraine has gained an advantage on the battlefield in part from deploying western rocket systems that allow it to target Russian positions behind the front lines.,https://globalnews.ca/news/9308830/russia-ukraine-missile-strikes-zelenskyy/
2022-11-27,"Russia plotting new missile attacks, Ukraine__ Zelenskyy says",Russia-Related Rhetoric,"""We understand that the terrorists are planning new strikes. We know this for a fact,"" Zelenskyy said in his nightly video address.",https://globalnews.ca/news/9308391/russia-ukraine-missile-attack-volodymyr-zelenskyy/
2022-11-18,Ukraine__ Zelenskyy calls on Canada to help on long,Aid Policies,Ukrainian President Volodymyr Zelenskyy made the request in a pre-recorded video address to an international security conference in Halifax.,https://globalnews.ca/news/9290846/ukraine-zelenskyy-canada-peace-plan-russia/
2022-11-09,Sean Penn loans Oscar statuette to Ukrainian president Volodymyr Zelenskyy,Media Representation,"In a symbolic gesture, Sean Penn presented his Oscars statuette to Ukrainian president Volodymyr Zelenskyy during a recent meeting in Kyiv.",https://globalnews.ca/news/9264629/sean-penn-loans-oscar-statuette-to-ukrainian-president-volodymyr-zelenskyy/
2022-11-06,"Russia __uffering serious losses_ in eastern Ukraine, Zelenskyy says",Military Operations,"""Very fierce Russian attacks on Donetsk region are continuing. The enemy is suffering serious losses there,"" Zelenskyy said in a video address.",https://globalnews.ca/news/9256664/russia-ukraine-volodymyr-zelenskyy/
2022-10-21,Ukraine__ Zelenskyy urges West to warn Russia against blowing up key dam,Russia-Related Rhetoric,"Russia accused Kyiv earlier this week of rocketing the dam and planning to destroy it, in what Ukrainian officials called a sign that Moscow might blow it up and blame Kyiv.",https://globalnews.ca/news/9216731/zelenskyy-west-warn-russia-ukraine-dam/
2022-10-04,Elon Musk Twitter poll on Ukraine war sparks response from Volodymyr Zelenskyy,Media Representation,The Tesla CEO argued in a tweet Monday that to reach peace Russia should be allowed to keep the Crimea Peninsula that it seized in 2014.,https://globalnews.ca/news/9174964/elon-musk-volodymyr-zelenskyy-ukraine-russia-twitter/
2022-09-27,Zelenskyy says no talks with Putin if Ukrainian land annexed,Russia-Related Rhetoric,"Ukrainian President Vodymyr Zelenskyy urged additional military and financial support to defend Ukraine ""so the aggressor would lose.""",https://globalnews.ca/news/9160842/zelenskyy-putin-ukrainian-land-annexed/
2022-09-21,"Zelenskyy to U.N.: Ukraine will prevail over Russian mobilization, __ut we need time_",Russia-Related Rhetoric,Zelenskyy_suggested Russia's decision to mobilize some reservists showed that Moscow isn't serious about negotiating an end to its nearly seven-month-long war.,https://globalnews.ca/news/9144878/ukraine-volodymyr-zelenskyy-united-nations-speech/
